timestamp,from,to,amount,rate,result
2025-08-08 16:49:53,USD,ARS,1000.000000,1331.080000,1331080.000000
2025-08-08 16:50:08,ARS,USD,1000.000000,0.000751,0.751000
2025-08-08 16:50:11,USD,BRL,1000.000000,5.460370,5460.370000
2025-08-08 16:50:15,BRL,USD,1000.000000,0.183138,183.138000
2025-08-08 16:50:18,USD,CLP,1000.000000,975.387367,975387.367000
2025-08-08 16:50:21,USD,COP,1000.000000,4067.098588,4067098.588000
2025-08-08 16:50:37,USD,ARS,1000.000000,1331.080000,1331080.000000
